Label,Text
Agriculture,ቻይና ኣብ 2022 ልዑል ምምሕያሽ ግብሪ ከምትገብር ኣፍሊጣ። እታ ሃገር 173 ነጥቢ 5 ቢሊየን ዶላር ምንካይ ግብሪ ከምትገብር ኢያ ገሊፃ ዘላ፡፡ ሚኒስትር ገንዘብ ቻይና ሊዩ ኩን÷ ቻይና ምንካይ ትገብረሎም ዓውዲታት ቴክኖሎጂ፣ ሓለዋ ከካባቢ፣ ሰብኣዊ፣ ዘመናዊ ሕርሻን ዞባዊ ጉዳያትን ከምኡ እውን ኣብ መሰል ዘፈራት ንዝሰርሑ ንምሕጋዝ ከምዝኾነ ተዛሪቦም። ትሑትን ማእኸለዎትን ኢንተርፕራይዛት ካብቲ ምንካይ ግብሪ ተረባሕቲ ክኾኑ ኢዮም ተባሂሉ፡፡ መንግስቲ ቻይና ትሑትን ማእኸለዎትን ኢንተርፕራይዛት ንምድጓም 3 ቢሊየን ዩዋን ከምዝመደበ እቶም ምክትል ሚኒስትር ገንዘብ ምግላፆም ሲ ጂ ቲ ኤን ፀብፂቡ፡፡
Agriculture,ኢኮኖሚ ንምድንፋዕ ዘፈር ሕርሻን ኢንዱስትሪ ንመዝማን ከምኡ እውን ንምትእስሳር ብዙሓት ፃዕሪታት እናተገበሩ ከምዝኾኑ ሚኒስቴር ገንዘብ ገሊፁ። ሚኒስትር ዲኤታ ገንዘብ ሰመሬታ ሰዋስው ከምዝገለፀኦ፥ ኢንዱስትሪታት መቀነባበሪ ሕርሻ ብዝበለፀ ውፅኢታዊ ብምግባር ዘበርከቱዎ ኣስተዋፅኦ ከዕብዩ ንኽእሉ ብትኹረት ይስራሕ ኣሎ፡፡ በተን ሚኒስትር ዲኤታ ዝተመርሐ ልኡኽ ኣብ ክልላት ኦሮሚያን ሲዳማን ዝርከቡ ዝተዋደደ ፓርኪታት ኢንዱስትሪ ሕርሻ ቡልቡላን ይርጋለምን ዑደት ኣካይዱ፡፡ ሚኒስትር ዲኤታ ሰመሬታ ሰዋስው ኣብቲ እዋን ዑደት፥ እቶም ፓርኪታት ኢንዱስትሪ ሙሉእ ብሙሉእ ናብ ስራሕ እንትኣትዉ ካብ ዝፈጥርሩዎ ዕድል ስራሕ ብተወሳኺ ሓረስቶት ምስ ዝሐሸ ሜላ ምፍራይ ንኅፋለጥን ናብ ዕዳጋ ብምቕራብ ብዝሐሸ ዋጋ ንኽሸጡን ዝሕግዝ ኢዩ አለን፡፡
Agriculture,ኣብ ኣፍሪካ ንኽትግበር ኣብ ዝወፅአ ዘፈር ልምዓት ሕርሻ ዘድህብ ፕሮግራም ኣብ ዝምልከት ናብ ጉባኤ መራሕቲ ፀብፃብ ቀሪቡ ልዝብ ከምዝግበረሉ ኣገልግሎት ኮሙዩኒኬሽን መንግስቲ ኣፍሊጡ። ሚኒስትር ዲኤታ እቲ ኣገልግሎት ሰላማዊት ካሳ ኣብ እዋናዊ ጉዳያት ኣድሂበን መግለፂ ሂበን፡፡ እተን ሚኒስትር ዲኤታ ኣብ መግለፂአን፥ ጉባኤ ኣፈፀምቲ ስራሕ እቲ ሕብረት ንኽልተ መዓልቲ ከምዝካየድን ኣብ መበል 35 ጉባኤ መራሕቲ ሕብረት ኣፍሪካ ዝቐርቡ ረቂቕ ኣዋጃት ከምዘሰናድእን ብመራሕቲ ልዝብ ከምዝግበረሉን ኣብሪሀን፡፡ እቲ ኣኼባ ኣፈፀምቲ ስራሕ ምስተዛዘመ ድማ ኣብ ዝቕፅል ቀዳምን ሰንበትን ጉባኤ መራሕቲ እቲ ሕብረት ከምዝካየድ ገሊፀን፡፡
Agriculture,ልምዓት ተፋሰስ ንዕብየት ሕርሻ መሰረት እዩ ክብሉ ርእሰ ምምሕዳር ክልል ሲዳማ ኣይተ ደስታ ሌዳሞ ገሊፆም፡፡ እቶም ርእሰ ምምህዳር ስራሕቲ ልምዓት ተፋሰስ 2014 ዓ.ም ብብርኪ ክልል ኣብ ወረዳ ዳሌ ቀበሌ ቃሊቴ ሲሚጣ ኣጀሚሮም፡፡ ኣብ ናይ ሎሚ ዓመት ተፋሰስ ልምዓት ክልል ሲዳማ 546 ነባርን 100 ሓደሽቲ ተፋሰሳትን ብሓፈሻ 646 ተፋሰሳት ዝለምዑ እንትኾኑ፤ እዚ ድማ ኣብ 108 ሽሕ 296 ሄክታር መሬት ዝለምዕ ከምዝኾነ እቶም ርእሰ ምምሕዳር ገሊፆም፡፡ ሓላፊ ሕርሻን ልምዓት ሃፍቲ ተፈጥሮን ክልል ሲዳማ መስፍን ቃሬ ፥ ናይ ሎሚዘበን ልምዓት ተፋሰስ ካብ ልምዓት ሓመድን ሓለዋን ሓሊፉ ልምዓት ሓጋይ፣ ሓምለዋይ ልምዓትን ካብ ዝኾነ ይኹን ነገር ናፃ ዝኾነ ከባቢ ንምፍጣር ዝዓለመ ከምዝኾነ ተዛሪቦም፡፡ ሚኒስትር ዲኤታ ኣማኻሪ ሚኒስትሪ ሕርሻ ወንዳለ ሃብታሙ ብግደኦም፥ ልምዓት ተፋሰስ እንተዘይሃልዩ ኣብ ዘፈር ሕርሻ ዝተተሓዘ ትልሚ ንምስኻዕ ከቢድ ከምዝኾን ኣረዲኦም፡፡
Agriculture,ኣብ ዝሓለፉ ሽዱሽተ ኣዋርሕ ካብ ዘፈር ንግዲ ወፃኢ ሕርሻ 1 ነጥቢ 3 ቢሊየን ዶላር ኣሜሪካ ከምዝተረኸበ ሚኒስቴር ሕርሻ ኣፍሊጡ። እዚ ኣፈፃፅማ ድማ ካብ ዝተትሓዘ ትልሚ 109 ሚኢታዊ ከምዝኾነ ተሓቢሩ። ምስ ኣፈፃፅማ ዝሓለፈ ዓመት ተመሳሳሊ እዋን እንትነፃፀር ድማ ናይ 323 ነጥቢ 6 ሚሊየን ዶላር ኣሜሪካ ወይ ድማ 32 ሚኢታዊ ሓለፋ ኣለዎ ተባሂሉ። እቲ ሚኒስቴር ቤት ዕዮ ኣብቲ ከይዲ ኣስተዋፅኦ ንዝነበሮም ኩሎም ኣካላት ምስጋና ዘቕረበ እንትኸውን፥ ኣብ ዝቕፅሉ 6 ኣዋርሕ ተጠናኺሩ ንኽቕፅል ምሕታቱ እውን ካብቲ ሚኒቴር ዝረኸብናዮ ሓበሬታ የረድእ።
Agriculture,ጉጅለ ህወሓት ኣብ ክልላት ዓፋርን ኣምሓራን ልዕሊ 1 ነጥቢ 5 ሚሊየን ሄክታር መሬት ሕርሻ ካብ ልምዓት ወፃኢ ከምዝገበሮ ሚኒስቴር ሕርሻ ኣፍሊጡ። ኣብ ናይ ሎሚ ዘበን እዋን ሕርሻ 13 ሚሊየን ሄክታር መሬት ብምሕራስ 375 ሚሊየን ኩንታል ምህርቲ ንምርካብ ተተሊሙ ናብ ስራሕ ከምዝተኣተወ ሚኒስትር ዴኤታ ሕርሻ ዶክተር መለሰ መኮነን ገሊፆም። ይኹን እምበር እቲ ጉጅለ ወሪሩ ኣብ ዝሓዞም ከባብታት ክልላት ኣምሓራን ዓፋርን ዝርከብ ምህርቲ ሕርሻ ልዕሊ 1 ነጥቢ 5 ሚሊየን ሄክታር ብዝርኣቲ ዝተሸፈነ መሬት፣ ንምህርቲ ዝበፅሑን ኣብ ምብፃሕ ዝነበሩ ዝራእትታትን ሙሉእ ብሙሉእ ካብ ጥቕሚ ወፃኢ ገይርዎ እዩ ኢሎም። ጉጅለ ህወሓት መሬት ሓረስታይ ብታንክን ብመኪናን ከይድሉ እዩ ዝበሉ እቶም ሚነስትር ዲኤታ÷ እቲ ዝተረፈ ናይ ሕርሻ መሬት እውን መቓብር ጅምላ ከምዝገበሮ ወሲኾም ገሊፆም።
Agriculture,ኣመራርሓታትን ሰራሕተኛታትን ሚኒስቴር ሕርሻን ተፀዋዕቲ ትካላትን ኣብ ክልል ኦሮሚያ ወረዳ ሰበታ ጣብያ ሃዋስ ናኖ ጀዌ ዝራእቲ ሓረስቶት ኣኪቦም። ዕላማ እቲ ፕሮግራም ኣብ ዙሪያ ልምዓት እናተገብረ ርብርብ ምድግጋፍን ዝራእቲ ሓረስቶት ብኽነት ብዝንኪ መልክዑ ንክፍፅሙ ምግባርን፤ ከምኡ እውን ንስራሕቲ ልምዓት ሓጋይ መስኖ ፍሉይ ትኹረት ብምሃብ ፀገም ፀጥታ ኣብ ዘለዎም ከባብታት ዝህሉ ናይ ምህርቲ ምንካይ ብዘከሓሕስ መልክዑ ንክሰርሑ መልእኽቲ ንምምሕላፍ ምዃኑ÷ ሚኒስትር ዴኤታ ዘፈር ልምዓት ሕርሻን ሆርቲካልቸርን ዶክተር መለስ መኮንን ገሊፆም። ኣብ ናይ ሎሚዘበን እዋን ዝራእቲ 12 ነጥቢ 9 ሚሊየን ሄክታር ብዝተፈላለዩ ዝራእቲ ብምሽፋን 374 ነጥቢ 66 ሚሊየን ኩንታል ፍርያት ንምእካብ እናተሰርሐ እንትኸውን÷ ክሳብ ሕዚ ኣብ ዘሎ ከይዲ ኣተኣኻኽባ ፍርያት ከባቢ 30 ምኢታዊት ከምዝተኣከበ እቶም ሚኒስትር ዴኤታ ገሊፆም።
Agriculture,ኢትዮጵያ ኣብ ፍርያት ሕርሻ ዘለዋ ዓቕሚ ኣብ ረብሓ ንምውዓል ሸንሸል ዛሕሉ ዝሓለወ ፍርያት ናብ ዕዳጋ ምቕራብ ከምዝግባእ ተሓቢሩ። ብፍላይ ፍርያት ኣቮካዶ ብቅልጡፍ ናብ ዝድለ ዕዳጋ ምቕራብ ብኽነት ፍርያት ካብ ምትራፉ ሓሊፉ ፍርያት ኢትዮጵያ ተመራፂ ከምዝገብሮ ተገሊፁ። መንግስቲ ኢትዮጵያን ኔዘርላንድስን ንክልተ ዓመት እናገበሩዎ ዝነበረ መፅናዕቲ ሸንሸል ፍርያት ኣቮካዶ ዕላዊ ኮይኑ። እቲ መፅናዕቲ፥ እቲ ፍርያት ዛሕሉ ሓሊዩ ንውሽጢ ዓዲ ይኹን ናብ ዓለም ለኸ ዕዳጋ ንምቕራብ ዘኽእል ፕሮጀክት ኢዩ ተባሂሉ። ብፍላይ ኣብዚ ሕዚ እዋን ሰፊሕ ዝኾነ ዓለም ለኸ ዕዳጋ ከምዘሎ ካብ ኔዘርላንድስ እቲ መፅናዕቲ ብመርበብ ሓበሬታ ዘቕረቡ ስቴቭ ቲስራክስ ገሊፆም።
Agriculture,ኣብ ክልል ሶማሌ ዞባ ፋፈን ብኩታ ገጠም ሕርሻ ዝለምዐ ግራውቲ ስርናይን ምሸላን ዑደት ተኻይዱ። ኣብቲ ዑደት ሚኒስትር ሕርሻ ኣይተ ዑመር ሑሴን፣ ምክትል ርእሰ ምምሕዳር ክልል ሶማሌ ኣይተ ኢብራሂም ዑስማንን ካልኦት ኣመራርሓታትን ተሳቲፎም፡፡ ኣብ ዘበነ ምህርቲ እዚ ዓመት ልዕሊ 500 ሺሕ ሄክታር መሬት ብዝራእቲ ስርናይ ከምዝለምዐ፣ ካብዚ ድማ 14 ሚሊየን ኩንታል ምህርቲ ትፅቢት ከምዝግበር፡፡ ኣብ ዞባ ፋፈን ዝተረኸበ ልምዲ ናብ ኣርባዕተ ዞባታት ንምስፋሕ ብዕቱብ እናተሰርሐ ከምዝኾነ ዝገለፁ ርእሰ ምምሕዳር ኣይተ ኢብራሂም ዑስማን፥ ኣብ ክረምቲ ካብ ሞንጎ ዝፈረየ ስርናይ 50 ሄክታር ዝተባዝሐን ዝራእቲ ከምዝኾነን ሚኒስቴር ሕርሻ እናሃቦ ዝርከብ ሓገዝ ኣጠናኺሩ ንኽቕፅልን ሓቲቶም፡፡
Agriculture,ኣብ ኣዲስ ኣበባ ሽጉርቲን ካልኦት ፍርያታት ሕርሻን ፍርያታት ሕርሻ ብማሕበራት ሕብረት ስራሕ ሸመትቲ ኣቢሉ ናብ ሕብረተሰብ ንምቕራብ ምንቅስቓስ ተጀሚሩ። ልዕሊ 2 ሚኢቲን92 ኩንታል ቀይሕ ሽጉርቲ ካብ ክልል ኦሮሚያ ዞባ ምዕራብ ኣርሲ ናብ ከተማ ኣዲስ ኣበባ ከምዝኣተወ ኤጀንሲ ሕብረት ስራሕ ምምሕዳር እታ ከተማ ገሊፁ። ኣብ ዝሓለፈ ሰሙን ቀዳማይ ሚኒትር ኣቢይ ኣሕመድ፣ ከንቲባ ምምሕዳር ከተማ ኣዲስ ኣበባ ኣዳነች ኣቤቤን ርእሰ ምምሕዳር ክልላትን ብሓባር ብምዃን ኣብ ክልል ኦሮሚያ ኣብ ስራሕቲ ሕርሻ ዑደት ኣብ ዘካየዱሉ እዋን፥ ሽጉርቲን ካልኦት ፍርያታት ሕርሻን ናብ ኣዲስ ኣበባ ንኸኣቱ ምርድዳእ ከምዝተገበረ ይዝከር።
